2018-03-05 13:29:43.223821
type=note_on	 note=52	 time=0
type=note_off	 note=52	 time=461
type=note_on	 note=55	 time=19
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=460
type=note_off	 note=59	 time=0
type=note_on	 note=55	 time=500
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=460
type=note_off	 note=59	 time=0
type=note_on	 note=52	 time=20
type=note_off	 note=52	 time=460
type=note_on	 note=55	 time=20
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=460
type=note_off	 note=59	 time=0
type=note_on	 note=55	 time=500
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=460
type=note_off	 note=59	 time=0
type=note_on	 note=55	 time=20
type=note_off	 note=55	 time=461
type=note_on	 note=59	 time=19
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=59	 time=500
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=55	 time=20
type=note_off	 note=55	 time=460
type=note_on	 note=59	 time=20
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=59	 time=500
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=54	 time=20
type=note_off	 note=54	 time=461
type=note_on	 note=59	 time=19
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=59	 time=500
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=54	 time=20
type=note_off	 note=54	 time=460
type=note_on	 note=59	 time=20
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=59	 time=500
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=460
type=note_off	 note=62	 time=0
type=note_on	 note=48	 time=20
type=note_off	 note=48	 time=240
type=note_on	 note=52	 time=240
type=note_on	 note=57	 time=0
type=note_off	 note=57	 time=26
type=note_off	 note=52	 time=57
type=note_on	 note=52	 time=877
type=note_on	 note=57	 time=0
type=note_off	 note=57	 time=25
type=note_off	 note=52	 time=66
type=note_on	 note=50	 time=389
type=note_off	 note=50	 time=260
type=note_on	 note=54	 time=220
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=56
type=note_off	 note=54	 time=17
type=note_on	 note=54	 time=887
type=note_on	 note=59	 time=0
type=note_off	 note=54	 time=96
type=note_off	 note=59	 time=12
type=note_on	 note=52	 time=372
type=note_off	 note=52	 time=274
type=note_on	 note=55	 time=206
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=66
type=note_off	 note=59	 time=12
type=note_on	 note=55	 time=882
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=67
type=note_off	 note=59	 time=8
type=note_on	 note=52	 time=405
type=note_off	 note=52	 time=225
type=note_on	 note=55	 time=255
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=63
type=note_off	 note=55	 time=8
type=note_on	 note=55	 time=889
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=82
type=note_off	 note=59	 time=44
type=note_on	 note=55	 time=354
type=note_off	 note=55	 time=319
type=note_on	 note=59	 time=161
type=note_on	 note=62	 time=0
type=note_off	 note=62	 time=80
type=note_off	 note=59	 time=7
type=note_on	 note=59	 time=873
type=note_on	 note=62	 time=0
type=note_off	 note=59	 time=81
type=note_off	 note=62	 time=10
type=note_on	 note=55	 time=389
type=note_off	 note=55	 time=252
type=note_on	 note=59	 time=228
type=note_on	 note=62	 time=0
type=note_off	 note=62	 time=73
type=note_off	 note=59	 time=19
type=note_on	 note=59	 time=868
type=note_on	 note=62	 time=0
type=note_off	 note=62	 time=112
type=note_off	 note=59	 time=6
type=note_on	 note=47	 time=362
type=note_off	 note=47	 time=286
type=note_on	 note=50	 time=194
type=note_on	 note=54	 time=0
type=note_off	 note=54	 time=74
type=note_off	 note=50	 time=0
type=note_on	 note=50	 time=886
type=note_on	 note=54	 time=0
type=note_off	 note=50	 time=66
type=note_off	 note=54	 time=31
type=note_on	 note=47	 time=383
type=note_off	 note=47	 time=167
type=note_on	 note=50	 time=313
type=note_on	 note=54	 time=0
type=note_off	 note=50	 time=39
type=note_off	 note=54	 time=11
type=note_on	 note=50	 time=910
type=note_on	 note=54	 time=0
type=note_off	 note=50	 time=44
type=note_off	 note=54	 time=80
type=note_on	 note=45	 time=356
type=note_off	 note=45	 time=614
type=note_on	 note=52	 time=346
type=note_on	 note=57	 time=0
type=note_off	 note=57	 time=600
type=note_off	 note=52	 time=14
type=note_on	 note=47	 time=106
type=note_off	 note=47	 time=720
type=note_on	 note=50	 time=480
type=note_on	 note=54	 time=0
type=note_off	 note=50	 time=614
type=note_off	 note=54	 time=0
type=note_on	 note=36	 time=346
type=note_on	 note=48	 time=0
type=note_on	 note=55	 time=480
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=45
type=note_off	 note=59	 time=13
type=note_off	 note=48	 time=62
type=note_on	 note=55	 time=840
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=69
type=note_off	 note=59	 time=25
type=note_on	 note=48	 time=386
type=note_off	 note=48	 time=274
type=note_on	 note=55	 time=206
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=71
type=note_off	 note=59	 time=3
type=note_on	 note=55	 time=886
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=88
type=note_off	 note=59	 time=27
type=note_off	 note=36	 time=144
type=note_on	 note=38	 time=221
type=note_on	 note=50	 time=0
type=note_on	 note=54	 time=480
type=note_on	 note=59	 time=0
type=note_off	 note=50	 time=1
type=note_off	 note=59	 time=70
type=note_off	 note=54	 time=9
type=note_on	 note=54	 time=880
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=67
type=note_off	 note=54	 time=21
type=note_on	 note=50	 time=392
type=note_off	 note=50	 time=206
type=note_on	 note=54	 time=274
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=64
type=note_off	 note=54	 time=14
type=note_on	 note=54	 time=882
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=101
type=note_off	 note=54	 time=8
type=note_off	 note=38	 time=31
type=note_on	 note=40	 time=340
type=note_on	 note=52	 time=0
type=note_off	 note=52	 time=458
type=note_on	 note=55	 time=22
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=44
type=note_off	 note=59	 time=36
type=note_on	 note=55	 time=880
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=82
type=note_off	 note=59	 time=8
type=note_on	 note=52	 time=390
type=note_off	 note=52	 time=263
type=note_on	 note=55	 time=217
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=79
type=note_off	 note=59	 time=4
type=note_on	 note=55	 time=877
type=note_on	 note=59	 time=0
type=note_off	 note=40	 time=140
type=note_off	 note=55	 time=2
type=note_off	 note=59	 time=42
type=note_on	 note=45	 time=296
type=note_on	 note=57	 time=480
type=note_on	 note=60	 time=0
type=note_off	 note=57	 time=26
type=note_off	 note=60	 time=57
type=note_on	 note=57	 time=877
type=note_on	 note=60	 time=0
type=note_off	 note=57	 time=26
type=note_off	 note=60	 time=65
type=note_on	 note=47	 time=389
type=note_off	 note=45	 time=0
type=note_on	 note=59	 time=480
type=note_off	 note=59	 time=73
type=note_on	 note=59	 time=887
type=note_off	 note=59	 time=96
type=note_on	 note=36	 time=384
type=note_on	 note=48	 time=0
type=note_off	 note=47	 time=20
type=note_on	 note=55	 time=460
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=45
type=note_off	 note=59	 time=13
type=note_off	 note=48	 time=62
type=note_on	 note=55	 time=840
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=68
type=note_off	 note=59	 time=26
type=note_on	 note=48	 time=386
type=note_off	 note=48	 time=274
type=note_on	 note=55	 time=206
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=71
type=note_off	 note=59	 time=3
type=note_on	 note=55	 time=886
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=88
type=note_off	 note=59	 time=27
type=note_off	 note=36	 time=144
type=note_on	 note=38	 time=221
type=note_on	 note=50	 time=0
type=note_on	 note=54	 time=480
type=note_on	 note=59	 time=0
type=note_off	 note=50	 time=1
type=note_off	 note=59	 time=70
type=note_off	 note=54	 time=9
type=note_on	 note=54	 time=880
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=67
type=note_off	 note=54	 time=21
type=note_on	 note=50	 time=392
type=note_off	 note=50	 time=206
type=note_on	 note=54	 time=274
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=64
type=note_off	 note=54	 time=14
type=note_on	 note=54	 time=882
type=note_on	 note=59	 time=0
type=note_off	 note=59	 time=101
type=note_off	 note=54	 time=8
type=note_off	 note=38	 time=31
type=note_on	 note=40	 time=340
type=note_on	 note=52	 time=0
type=note_off	 note=52	 time=458
type=note_on	 note=55	 time=22
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=44
type=note_off	 note=59	 time=36
type=note_on	 note=55	 time=880
type=note_on	 note=59	 time=0
type=note_off	 note=55	 time=82
type=note_off	 note=59	 time=8
type=note_on	 note=47	 time=390
type=note_off	 note=40	 time=17
type=note_off	 note=47	 time=246
type=note_on	 note=54	 time=217
type=note_on	 note=59	 time=0
type=note_off	 note=54	 time=79
type=note_off	 note=59	 time=4
type=note_on	 note=54	 time=877
type=note_on	 note=59	 time=0
type=note_off	 note=54	 time=142
